品名,XGB,KNN,SVM,RFC,LR
青江白菜,36.82287590152522,36.438654481743576,44.42629511419873,39.014395898096176,36.493989669486616
蘆筍,28.859291277624486,35.40769861393482,30.630438165996427,32.346438355880025,27.483118038692403
奇異果,32.7730333683663,42.95529175004797,33.01338119379068,34.0805357748202,31.0359671669812
西瓜,28.063321231251646,22.89913463976801,25.513400886951292,27.88607960084321,24.2982883159065
草菇,23.27679469976385,15.107126653742187,14.222497346554873,23.722956649338812,21.43978421423021
溼香菇,60.84909405335293,58.37494820264966,58.189202836361815,61.149405418786536,58.9218650903522
火龍果,29.495989335137885,24.491035263272455,26.032440986260404,28.89513662336954,25.780628108353348
甘藍,62.60670375400106,54.60443295338693,53.72018354679979,59.71186393559886,52.82755870553327
熟筍,11.171515518157985,45.615959962602425,58.94929329593578,28.63252916338216,60.61595996260241
香蕉,99.44122791282295,56.75100894938237,48.28816545219623,95.1756186357043,50.43852874241854
