«~¦W,XGB,KNN,SVM,RFC,LR
¤p¥Õµæ,75.53214286,86.94642857,68.21071429,55.87857143,63.94404762
«C¦¿¥Õµæ,73.84285714,97.42261905,68.76190476,53.93214286,69.26547619
¯ó²ù,52079.29048,51090.42381,66800.22619,54215.15476,60543.49048
¬v½µ,10.79855072,21.22463768,12.56231884,10.0884058,11.54202899
¿»­X,335.6911111,385.4855556,245.2555556,261.1488889,254.01
ªá·¦µæ,164.6416667,279.4625,161.5104167,168.2083333,172.61875
­J¥Ê,77.98585859,87.01010101,72.15252525,75.51313131,65.93131313
¥ÌÁ¦,15.6875,20.09027778,15.96111111,14.23194444,14.3
¥ÌÃÅ¸­,75.82222222,113.95,86.87777778,82.09444444,89.33888889
µ·¥Ê,82.53645833,125.1354167,81.55208333,76.01145833,76.57083333
·Ã­»Û£,890.59375,1658.527083,657.9291667,669.38125,795.725
·¨®ç,109.154902,108.1215686,94.7627451,103.2352941,104.1176471
°¨¹aÁ¦,9.956666667,24.71,16.86,7.998333333,13.755
­JÅÚ½³,14.85972222,21.55277778,14.80972222,13.43194444,13.38888889
¦Ê­»ªG,544.2565217,819.3666667,431.6115942,452.6608696,434.8086957
îRµæ,139.1411111,205.1433333,140.6111111,132.1388889,137.4088889
¸±­Uµæ,258.8666667,415.0074074,209.3444444,232.208642,176.2345679
¥ÌÂÅ,63.58137255,103.7029412,63.61960784,66.73235294,57.2754902
¨¡,82.76521739,142.9971014,91.58695652,96.50289855,89.07826087
®ç¤l,6551.147059,8346.368627,4599.766667,5006.292157,4107.621569
ªÞµæÃþ,59.5,78.83137255,51.25686275,59.43529412,90.76470588
¥É¦Ì,160.8975309,259.7938272,158.9654321,196.6148148,175.0271605
ªoµæ,42.12592593,62.16049383,48.22592593,35.3382716,43.02962963
»¶´Ô,624.2576923,937.2320513,622.2448718,713.9115385,619.5769231
Ä«ªG,851.0633333,888.76,1061.295,926.4666667,836.375
¸²µå¬c,62.62105263,67.0754386,47.30175439,55.08070175,49.78947368
¤ì¥Ê,56.43939394,96.23030303,66.05606061,57.06818182,62.93787879
¬v­»¥Ê,1024.385185,1846.575926,962.5,1034.844444,1085.787037
²¢´Ô,319.3178571,447.9095238,266.7238095,263.0964286,285.1952381
»ñ±ù,28.38550725,38.25652174,31.82463768,24.81449275,25.9884058
µf¥Ûºh,157.7920635,227.2111111,137.4968254,132.6126984,136.5777778
Àã¤ì¦Õ,2192.851852,2530.498148,1545.857407,2862.9,1771.359259
¤j»[,733.3246377,1277.285507,838.8115942,728.9565217,762.9594203
­W¥Ê,219.4080808,284.0848485,204.3212121,229.9909091,199.9818182
·¦¤l,59.21363636,76.97272727,59.6530303,54.71666667,62.25
Äå®ç,88584.53529,103374.7784,109665.0216,67136.78039,86438.8549
ªàµæ,404.9059524,472.5547619,397.252381,380.9869048,394.0452381
¥V¥Ê,15.58333333,17.2,12.72555556,12.47222222,14.15
Í´×h,3422.970588,4737.231373,3632.554902,3464.445098,3117.133333
Äªµ«,1162.364444,1483.322222,884.5266667,1009.582222,945.2555556
ÄÀ­{,769.1929825,1396.349123,546.7368421,480.8701754,632.7298246
¥]¤ß¥Õµæ,89.47843137,102.1578431,68.37352941,110.7215686,65.25490196
²¢¾í,520.3724638,518.5927536,502.8608696,490.926087,483.8652174
±Ó¨§,627.975,798.2928571,588.4321429,564.622619,575.3440476
¤ò¨§,614.8377778,1500.748889,589.4222222,564.3111111,554.1288889
½Ü¨§,680.584058,907.4463768,496.8855072,498.2130435,522.0014493
¨~ªG,380.0395833,591.3041667,364.4291667,393.8520833,387.7083333
¤õÀsªG,403.0626667,615.5666667,342.4533333,353.0066667,314.936
½¬Ãú,1208.524074,2209.224074,1216.298148,1029.366667,1302.772222
­X¤l,115.2666667,200.0156863,112.1382353,103.6921569,118.077451
¤E¼h¶ð,171.5929825,218.9912281,233.6807018,155.9473684,209.6491228
ª÷µ·Û£,89.11458333,118.41875,77.37916667,101.6354167,77.9125
­´µæ,396.508642,688.0888889,323.0049383,280.2765432,293.6518519
¤ûã®,278.4333333,325.5307692,178.0153846,248.3769231,265.5846154
³Aµæ,152.7416667,207.3847222,149.975,111.3375,125.5541667
Á¤,165.0434783,204.1304348,157.5536232,143.4913043,140.4202899
ÂÅ²ù,29279.77436,31813.73846,22935.61282,33963.64103,18270.87692
ºhåÑ,892.9176471,1047.819608,796.1745098,1500.456863,792.9176471
¯ïªK,6114.518519,6268.474074,3581.614815,4551.688889,3368.940741
­»¿¼,30.8962963,40.2691358,27.57530864,27.50987654,30.04691358
ªãµæ,41.33461538,66.06410256,61.24230769,37.25384615,51.88461538
ªãÂÅµæ,196.0988095,285.8904762,174.6964286,162.8738095,176.872619
«n¥Ê,159.2819444,209.9583333,158.6986111,139.4944444,162.8513889
³·¸Ì¬õ,11.19583333,47.29166667,22.32916667,15.52083333,15.31666667
Ó¦»U,149.36,298.5844444,166.3866667,171.5222222,168.5377778
¸²µå,5193.846667,4285.823333,4817.541667,4604.023333,3854.603333
¬vÛ£,1304.502083,1590.13125,1146.020833,1114.314583,1293.50625
µUÀYÛ£,512.8433333,825.4666667,569.3333333,380.2333333,531.74
«C½µ,2825.625926,3762.195062,2510.039506,2668.734568,3130.9
¦ò§QÂc,180.4541667,289.8125,171.2,123.65,177.8541667
µÔµæ,501.5927536,522.2130435,371.2173913,408.0869565,418.6550725
§õ,903.8511111,767.0577778,781.4511111,670.8511111,724.2044444
­Z¨¦¬a,107.6466667,186.8066667,117.2488889,96.38888889,125.8577778
ÅÚ½³,37.19166667,52.375,42.78571429,40.0952381,43.29761905
µæ¨§,280.7413793,323.0643678,248.8758621,252.9655172,218.737931
¸¨ªá¥Í,368.695,458.4183333,274.2583333,337.44,326.29
¦µµæ,0.420833333,1.445833333,0.941666667,1.766666667,0.675
Às²´,2408.969048,2866.519048,1643.269048,1887.17381,2330.014286
¬c¤l,143.1861111,123.0305556,243.0833333,142.35,161.9888889
¥b¤Ñµ«,688.3111111,1391.962963,587.962963,688.2,518.637037
¶À¬î¸ª,394.3210526,773.7175439,483.745614,327.0105263,441.5929825
¯õ­»,286.8592593,463.5203704,209.4611111,246.7333333,209.0203704
§öÀjÛ£,330.3291667,584.8375,315.0270833,404.74375,307.8895833
¬À·äÛ£,295.7190476,276.1071429,265.6690476,257.5428571,232.8
ÂEÁHÛ£,290.9190476,509.0047619,339.5738095,244.4571429,348.0880952
¨q¬ÃÛ£,235.2422222,344.2,222.5688889,208.3888889,284.8755556
±ù,412.3434783,464.2666667,405.9231884,379.0942029,389.1449275
¸±­U²ô,29.98484848,53.91515152,31.88787879,31.94545455,25.09393939
¯óÛ£,477.8357143,585.8857143,419.0452381,440,323.3547619
Ä®Û£,170.6282051,200.8128205,179.3615385,166.0230769,176.8307692
¤Ú¦èÄ¨Û£,9671.41,7028.286667,6324.043333,10560.71,6963.36
²y²ô¥ÌÂÅ,53.73968254,64.71428571,38.9984127,44.15714286,48.98730159
Ù®¬a,36723.68254,41863.5,28007.7746,20989.43175,24481.46508
